Date,temp
20150121 02:30:00,27
20150121 03:00:00,29
20150121 03:30:00,29
20150121 04:00:00,30
20150121 04:30:00,29
20150121 05:00:00,30
20150121 05:30:00,31
20150121 06:00:00,31
20150121 06:30:00,30
20150121 07:00:00,30
20150121 07:30:00,30
20150121 08:00:00,31
20150121 08:30:00,30
20150121 09:00:00,30
20150121 09:30:00,29
20150121 10:00:00,29
20150121 10:30:00,29
20150121 11:00:00,28
20150121 11:30:00,27
20150121 12:00:00,27
20150121 12:30:00,26
20150121 13:00:00,26
20150121 13:30:00,25
20150121 14:00:00,25
20150121 14:30:00,25
20150121 15:00:00,24
20150121 15:30:00,24
20150121 16:00:00,24
20150121 16:30:00,23
20150121 17:00:00,23
20150121 17:30:00,23
20150121 18:00:00,22
20150121 19:00:00,22
20150121 20:00:00,22
20150121 20:30:00,22
20150121 21:00:00,22
20150121 22:00:00,21
20150121 22:30:00,21
20150121 23:00:00,21
20150122 00:00:00,21
20150122 00:30:00,22
20150122 01:00:00,22
20150122 01:30:00,24
20150122 02:00:00,25
20150122 02:30:00,27
20150122 03:00:00,27
20150122 03:30:00,28
20150122 04:00:00,29
20150122 04:30:00,30
20150122 05:00:00,29
20150122 05:30:00,30
20150122 06:00:00,29
20150122 06:30:00,30
20150122 07:00:00,30
20150122 07:30:00,30
20150122 08:00:00,30
20150122 08:30:00,30
20150122 09:00:00,30
20150122 09:30:00,29
20150122 10:00:00,28
20150122 11:00:00,27
20150122 11:30:00,27
20150122 12:00:00,27
20150122 12:30:00,26
20150122 13:00:00,25
20150122 13:30:00,25
20150122 14:00:00,25
20150122 14:30:00,25
20150122 15:00:00,25
20150122 15:30:00,24
20150122 16:00:00,24
20150122 16:30:00,23
20150122 17:00:00,22
20150122 17:30:00,23
20150122 18:00:00,23
20150122 18:30:00,22
20150122 19:00:00,22
20150122 20:00:00,22
20150122 20:30:00,21
20150122 21:00:00,21
20150122 21:30:00,21
20150122 22:00:00,21
20150122 22:30:00,21
20150122 23:00:00,21
20150122 23:30:00,21
20150123 00:00:00,21
20150123 00:30:00,22
20150123 01:00:00,23
20150123 01:30:00,24
20150123 02:00:00,26
20150123 02:30:00,27
20150123 03:00:00,28
20150123 03:30:00,29
20150123 04:00:00,30
20150123 04:30:00,30
20150123 05:00:00,29
20150123 05:30:00,30
20150123 06:00:00,30
20150123 06:30:00,31
20150123 07:00:00,30
20150123 07:30:00,31
20150123 08:00:00,31
20150123 08:30:00,30
20150123 09:00:00,30
20150123 09:30:00,30
20150123 10:00:00,29
20150123 10:30:00,29
20150123 11:00:00,28
20150123 11:30:00,27
20150123 12:00:00,27
20150123 12:30:00,26
20150123 13:00:00,25
20150123 13:30:00,25
20150123 14:00:00,25
20150123 14:30:00,25
20150123 15:00:00,23
20150123 15:30:00,24
20150123 16:00:00,24
20150123 16:30:00,23
20150123 17:00:00,23
20150123 17:30:00,23
20150123 18:00:00,23
20150123 18:30:00,22
20150123 19:00:00,22
20150123 19:30:00,22
20150123 20:00:00,21
20150123 20:30:00,21
20150123 21:00:00,21
20150123 21:30:00,21
20150123 22:00:00,21
20150123 22:30:00,21
20150123 23:00:00,21
20150123 23:30:00,21
20150124 00:00:00,21
20150124 00:30:00,22
20150124 01:00:00,23
20150124 01:30:00,25
20150124 02:00:00,26
20150124 02:30:00,27
20150124 03:00:00,26
20150124 03:30:00,29
20150124 04:00:00,30
20150124 04:30:00,29
20150124 05:00:00,30
20150124 05:30:00,31
20150124 06:00:00,31
20150124 06:30:00,31
20150124 07:00:00,31
20150124 07:30:00,30
20150124 08:00:00,31
20150124 08:30:00,30
20150124 09:00:00,30
20150124 09:30:00,30
20150124 10:00:00,29
20150124 10:30:00,29
20150124 11:00:00,28
20150124 11:30:00,27
20150124 12:00:00,26
20150124 12:30:00,26
20150124 13:00:00,25
20150124 13:30:00,25
20150124 14:00:00,24
20150124 14:30:00,24
20150124 15:00:00,23
20150124 15:30:00,23
20150124 16:00:00,22
20150124 16:30:00,22
20150124 17:00:00,22
20150124 17:30:00,22
20150124 18:00:00,22
20150124 18:30:00,22
20150124 19:00:00,22
20150124 19:30:00,22
20150124 20:00:00,21
20150124 20:30:00,21
20150124 21:00:00,21
20150124 21:30:00,21
20150124 22:00:00,21
20150124 22:30:00,21
20150124 23:00:00,21
20150124 23:30:00,21
20150125 00:00:00,21
20150125 00:30:00,21
20150125 01:00:00,23
20150125 01:30:00,25
20150125 02:00:00,26
20150125 02:30:00,27
20150125 03:00:00,28
20150125 03:30:00,29
20150125 04:00:00,29
20150125 04:30:00,29
20150125 05:00:00,30
20150125 05:30:00,31
20150125 06:00:00,31
20150125 06:30:00,31
20150125 07:00:00,31
20150125 07:30:00,30
20150125 08:00:00,31
20150125 08:30:00,30
20150125 09:00:00,30
20150125 09:30:00,29
20150125 10:00:00,29
20150125 10:30:00,29
20150125 11:00:00,28
20150125 11:30:00,27
20150125 12:00:00,26
20150125 12:30:00,26
20150125 13:00:00,26
20150125 13:30:00,26
20150125 14:00:00,25
20150125 14:30:00,25
20150125 15:00:00,25
20150125 15:30:00,25
20150125 16:00:00,24
20150125 16:30:00,23
20150125 17:00:00,24
20150125 17:30:00,24
20150125 18:00:00,24
20150125 18:30:00,24
20150125 19:00:00,24
20150125 19:30:00,24
20150125 20:00:00,24
20150125 20:30:00,24
20150125 21:00:00,24
20150125 21:30:00,24
20150125 22:00:00,24
20150125 22:30:00,24
20150125 23:00:00,24
20150125 23:30:00,24
20150126 00:00:00,24
20150126 00:30:00,24
20150126 01:00:00,25
20150126 01:30:00,26
